"sample_size","scalar","cohensd","perc_type2"
20,1,1,0.1103
35,1,0.1,0.9305
35,1,0.2,0.8717
35,1,0.3,0.7583
35,1,0.4,0.6246
35,1,0.5,0.4534
35,1,0.6,0.2905
35,1,0.7,0.1576
35,1,0.8,0.0724
35,1,0.9,0.032
35,1,1,0.0088
50,1,0.1,0.9168
50,1,0.2,0.8388
50,1,0.3,0.6674
50,1,0.4,0.4895
50,1,0.5,0.2866
50,1,0.6,0.1461
50,1,0.7,0.0631
50,1,0.8,0.019
50,1,0.9,0.0052
50,1,1,6e-04
100,1,0.1,0.8851
100,1,0.2,0.7075
100,1,0.3,0.4193
100,1,0.4,0.1983
100,1,0.5,0.0545
100,1,0.6,0.0107
100,1,0.7,6e-04
100,1,0.8,1e-04
100,1,0.9,0
100,1,1,0
10,2,0.1,0.9521
10,2,0.2,0.9412
10,2,0.3,0.9112
10,2,0.4,0.8739
10,2,0.5,0.814
10,2,0.6,0.7495
10,2,0.7,0.6769
10,2,0.8,0.5662
10,2,0.9,0.4971
10,2,1,0.399
20,2,0.1,0.9413
20,2,0.2,0.912
20,2,0.3,0.8456
20,2,0.4,0.7689
20,2,0.5,0.6564
20,2,0.6,0.5415
20,2,0.7,0.4149
20,2,0.8,0.2784
20,2,0.9,0.1887
20,2,1,0.1066
35,2,0.1,0.9308
35,2,0.2,0.8713
35,2,0.3,0.756
35,2,0.4,0.6277
35,2,0.5,0.4526
35,2,0.6,0.2957
35,2,0.7,0.1678
35,2,0.8,0.0717
35,2,0.9,0.0352
35,2,1,0.0119
50,2,0.1,0.9179
50,2,0.2,0.8308
50,2,0.3,0.6794
50,2,0.4,0.4867
50,2,0.5,0.2828
50,2,0.6,0.148
50,2,0.7,0.06
50,2,0.8,0.0176
50,2,0.9,0.0059
50,2,1,9e-04
100,2,0.1,0.8848
100,2,0.2,0.7193
100,2,0.3,0.4316
100,2,0.4,0.1949
100,2,0.5,0.0492
100,2,0.6,0.0107
100,2,0.7,0.0014
100,2,0.8,1e-04
100,2,0.9,0
100,2,1,0
10,3,0.1,0.9515
10,3,0.2,0.941
10,3,0.3,0.911
10,3,0.4,0.8704
10,3,0.5,0.8153
10,3,0.6,0.7426
10,3,0.7,0.6732
10,3,0.8,0.5759
10,3,0.9,0.4958
10,3,1,0.4022
20,3,0.1,0.9372
20,3,0.2,0.9068
20,3,0.3,0.845
20,3,0.4,0.7701
20,3,0.5,0.6583
20,3,0.6,0.5364
20,3,0.7,0.4014
20,3,0.8,0.2701
20,3,0.9,0.1886
20,3,1,0.1052
35,3,0.1,0.9307
35,3,0.2,0.8768
35,3,0.3,0.7507
35,3,0.4,0.6243
35,3,0.5,0.4406
35,3,0.6,0.293
35,3,0.7,0.1595
35,3,0.8,0.0712
35,3,0.9,0.034
35,3,1,0.0113
50,3,0.1,0.9184
50,3,0.2,0.833
50,3,0.3,0.6687
50,3,0.4,0.4982
50,3,0.5,0.2853
